Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Year
Arizona Diamondbacks,4.29,,162,6338,5692,695,1460,299,26,176,48,22,485,1218,.257,.320,.411,.731,.296,2339,120,60,64,37,42,40,2013
Atlanta Braves,3.38,,162,5989,5443,548,1326,259,24,127,79,32,409,1232,.244,.301,.370,.671,.292,2014,115,51,57,28,35,48,2013
Baltimore Orioles,4.38,,162,6144,5543,709,1438,283,22,202,63,32,473,1169,.259,.321,.428,.749,.293,2371,147,50,33,43,32,38,2013
Boston Red Sox,4.05,,162,6143,5509,656,1366,281,26,156,133,43,524,1294,.248,.316,.393,.710,.295,2167,118,47,21,42,10,44,2013
Chicago Cubs,4.25,,162,6149,5448,689,1332,301,33,160,107,42,540,1184,.244,.318,.400,.718,.283,2179,106,62,62,35,43,60,2013
Chicago White Sox,4.46,,162,6214,5564,723,1424,256,22,182,102,35,509,1249,.256,.322,.408,.730,.297,2270,129,60,33,48,24,68,2013
Cincinnati Reds,3.64,,162,6077,5478,589,1294,252,25,170,70,35,435,1296,.236,.298,.384,.683,.278,2106,120,66,62,36,28,45,2013
Cleveland Indians,4.09,,162,6154,5467,662,1359,267,21,147,84,31,554,1379,.249,.322,.386,.708,.305,2109,118,58,38,36,26,52,2013
Colorado Rockies,4.69,,162,6248,5586,760,1545,348,32,136,89,33,517,1064,.277,.340,.423,.763,.318,2365,139,40,59,46,52,48,2013
Detroit Tigers,3.85,,162,6119,5539,624,1369,259,28,128,128,29,462,1428,.247,.308,.373,.681,.308,2068,117,42,33,42,29,34,2013
Houston Astros,5.23,,162,6370,5620,848,1530,314,41,191,98,37,616,1084,.272,.347,.445,.792,.305,2499,145,56,31,46,32,65,2013
Kansas City Royals,3.71,,162,6049,5467,601,1366,238,24,155,77,36,469,1208,.250,.311,.387,.699,.292,2117,120,41,25,47,21,44,2013
Los Angeles Angels of Anaheim,4.55,,162,6298,5646,737,1475,286,21,167,131,35,533,1200,.261,.328,.408,.736,.303,2304,118,45,37,35,36,54,2013
Los Angeles Dodgers,3.59,,162,6032,5434,582,1321,243,18,127,63,40,460,1292,.243,.306,.365,.670,.295,1981,137,43,64,29,44,70,2013
Miami Marlins,3.99,,162,6166,5483,646,1376,270,48,121,90,37,526,1177,.251,.319,.384,.703,.297,2105,125,47,63,46,58,41,2013
Milwaukee Brewers,4.24,,162,6100,5484,687,1401,215,17,175,99,30,466,1125,.255,.317,.397,.713,.290,2175,125,43,64,40,29,66,2013
Minnesota Twins,4.86,,162,6257,5679,788,1591,310,30,168,73,38,458,985,.280,.336,.434,.770,.311,2465,147,44,27,49,31,48,2013
New York Mets,4.22,,162,6249,5623,684,1442,272,19,152,87,29,458,1209,.256,.316,.393,.709,.299,2208,116,54,66,48,38,56,2013
New York Yankees,4.14,,162,6128,5563,671,1452,303,14,171,72,30,437,1233,.261,.318,.413,.731,.305,2296,117,51,29,46,34,37,2013
Oakland Athletics,3.86,,162,6069,5529,625,1339,229,19,163,87,27,428,1183,.242,.299,.379,.678,.278,2095,96,35,35,42,23,62,2013
Philadelphia Phillies,4.62,,162,6213,5538,749,1465,308,36,152,114,35,506,1199,.265,.331,.415,.746,.310,2301,122,62,63,43,33,61,2013
Pittsburgh Pirates,3.56,,162,6147,5468,577,1299,223,19,101,95,43,515,1261,.238,.309,.341,.650,.289,1863,134,70,54,40,26,62,2013
San Diego Padres,4.32,,162,6179,5511,700,1407,270,38,156,107,43,525,1171,.255,.322,.403,.725,.296,2221,106,40,64,39,31,41,2013
Seattle Mariners,4.65,,162,6257,5658,754,1467,315,27,174,89,30,478,1297,.259,.319,.417,.736,.305,2358,128,42,31,47,48,54,2013
San Francisco Giants,4.27,,162,6163,5491,691,1380,277,25,145,95,41,521,1256,.251,.320,.390,.710,.299,2142,112,50,61,38,64,54,2013
St. Louis Cardinals,3.68,,162,6104,5494,596,1366,263,29,112,39,26,451,1254,.249,.311,.368,.680,.301,2023,160,64,63,32,26,46,2013
Tampa Bay Rays,3.96,,163,6083,5482,646,1315,254,30,153,119,33,482,1310,.240,.305,.381,.686,.286,2088,120,52,25,42,38,30,2013
Texas Rangers,3.90,,163,6146,5526,636,1370,261,19,157,73,34,498,1309,.248,.313,.387,.701,.296,2140,129,48,30,44,35,48,2013
Toronto Blue Jays,4.67,,162,6250,5608,756,1451,304,25,195,87,29,500,1208,.259,.324,.426,.750,.295,2390,125,65,28,47,33,65,2013
Washington Nationals,3.86,,162,6038,5497,626,1367,262,14,142,95,20,405,1236,.249,.305,.379,.683,.296,2083,121,48,61,26,17,68,2013
League Average,4.17,,162,6162,5536,675,1403,274,26,155,90,34,488,1224,.253,.318,.396,.714,.297,2195,124,51,46,41,34,52,2013
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2013
,4.17,,4862,184873,166070,20255,42093,8222,772,4661,2693,1007,14640,36710,.253,.318,.396,.714,.297,65842,3732,1536,1383,1219,1018,1549,2013
Arizona Diamondbacks,4.58,,162,6162,5533,742,1467,296,34,154,75,34,469,1278,.265,.326,.414,.740,.316,2293,121,51,59,49,43,47,2014
Atlanta Braves,3.69,,162,6087,5464,597,1369,244,22,121,100,29,472,1301,.251,.312,.370,.682,.306,2020,128,37,70,43,36,44,2014
Baltimore Orioles,3.66,,162,6104,5507,593,1342,268,20,151,84,32,472,1174,.244,.308,.382,.690,.282,2103,127,59,30,35,25,53,2014
Boston Red Sox,4.41,,162,6231,5618,715,1458,316,32,154,87,33,482,1213,.260,.321,.409,.730,.303,2300,129,47,36,48,19,51,2014
Chicago Cubs,4.36,,162,6208,5557,707,1398,296,24,115,114,38,504,1311,.252,.318,.376,.694,.308,2087,114,55,55,36,37,55,2014
Chicago White Sox,4.68,,162,6255,5544,758,1468,272,31,140,93,32,557,1152,.265,.337,.401,.738,.309,2222,152,69,37,48,42,65,2014
Cincinnati Reds,3.78,,162,6067,5402,612,1282,260,18,163,71,38,507,1290,.237,.309,.383,.691,.281,2067,99,69,51,38,33,40,2014
Cleveland Indians,4.03,,162,6193,5598,653,1398,290,32,135,95,44,464,1450,.250,.312,.385,.697,.312,2157,116,58,33,40,51,69,2014
Colorado Rockies,5.05,,162,6248,5540,818,1528,320,43,173,85,16,531,1074,.276,.342,.443,.784,.311,2453,143,54,59,62,32,41,2014
Detroit Tigers,4.35,,162,6191,5619,705,1475,316,42,127,111,51,462,1244,.263,.321,.401,.723,.314,2256,131,42,26,41,34,55,2014
Houston Astros,4.46,,162,6154,5519,723,1437,274,30,139,109,32,484,1137,.260,.323,.396,.719,.302,2188,133,52,36,59,32,62,2014
Kansas City Royals,3.85,,162,6101,5534,624,1386,254,31,128,69,29,440,1168,.250,.310,.377,.687,.294,2086,107,56,26,45,14,56,2014
Los Angeles Angels of Anaheim,3.89,,162,6179,5533,630,1307,228,14,126,106,39,504,1342,.236,.305,.351,.656,.287,1941,113,63,29,49,41,41,2014
Los Angeles Dodgers,3.81,,162,6075,5519,617,1338,262,24,142,86,38,429,1373,.242,.300,.376,.676,.296,2074,124,41,49,34,35,65,2014
Miami Marlins,4.16,,162,6217,5605,674,1481,283,40,114,109,34,458,1190,.264,.323,.390,.713,.315,2186,130,49,66,39,35,53,2014
Milwaukee Brewers,4.06,,162,6106,5547,657,1386,249,22,167,96,35,431,1246,.250,.307,.393,.700,.293,2180,110,42,54,30,20,54,2014
Minnesota Twins,4.80,,162,6212,5665,777,1588,319,38,147,100,22,408,1031,.280,.330,.428,.758,.317,2424,120,45,30,63,24,52,2014
New York Mets,3.81,,162,6170,5534,618,1370,261,31,141,85,25,509,1303,.248,.315,.382,.698,.299,2116,139,50,52,25,38,59,2014
New York Yankees,4.10,,162,6114,5568,664,1392,258,29,164,77,38,398,1370,.250,.305,.395,.700,.301,2200,87,65,38,45,23,58,2014
Oakland Athletics,3.53,,162,5972,5451,572,1269,210,11,147,100,28,406,1244,.233,.290,.356,.646,.274,1942,130,48,34,32,28,62,2014
Philadelphia Phillies,4.24,,162,6261,5546,687,1396,284,32,134,115,46,521,1255,.252,.321,.387,.708,.300,2146,110,69,77,48,43,51,2014
Pittsburgh Pirates,3.90,,162,6130,5429,631,1341,235,26,128,107,49,499,1228,.247,.318,.371,.689,.295,2012,131,88,72,42,43,58,2014
San Diego Padres,3.56,,162,6006,5391,577,1300,258,21,117,116,40,462,1284,.241,.304,.362,.666,.294,1951,100,46,65,40,32,50,2014
Seattle Mariners,3.42,,162,5974,5389,554,1240,227,21,137,92,35,463,1317,.230,.295,.356,.652,.277,1920,116,52,30,40,36,39,2014
San Francisco Giants,3.79,,162,5947,5412,614,1305,266,48,133,107,47,389,1211,.241,.297,.382,.679,.285,2066,132,57,51,38,35,56,2014
St. Louis Cardinals,3.72,,162,6069,5453,603,1321,253,26,123,54,29,470,1221,.242,.308,.366,.674,.289,1995,130,61,51,34,35,59,2014
Tampa Bay Rays,3.86,,162,6131,5518,625,1292,236,18,145,82,26,482,1437,.234,.300,.362,.662,.288,1999,79,58,27,45,27,45,2014
Texas Rangers,4.77,,162,6195,5555,773,1510,329,29,160,85,36,505,1110,.272,.336,.428,.764,.311,2377,129,61,24,49,43,55,2014
Toronto Blue Jays,4.23,,162,6150,5530,686,1400,331,32,151,94,24,490,1199,.253,.318,.407,.724,.295,2248,113,57,25,48,23,50,2014
Washington Nationals,3.43,,162,6020,5534,555,1351,242,28,110,60,36,352,1288,.244,.294,.358,.651,.298,1979,116,51,51,32,26,52,2014
League Average,4.07,,162,6131,5520,659,1386,271,28,140,92,34,467,1248,.251,.314,.386,.700,.299,2133,120,55,45,43,33,53,2014
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2014
,4.07,,4860,183929,165614,19761,41595,8137,849,4186,2764,1035,14020,37441,.251,.314,.386,.700,.299,63988,3609,1652,1343,1277,985,1597,2014
Arizona Diamondbacks,4.40,,162,6257,5617,713,1450,318,30,182,73,28,500,1215,.258,.322,.423,.744,.297,2374,125,48,44,46,45,54,2015
Atlanta Braves,4.69,,162,6156,5449,760,1462,285,33,170,84,33,550,1148,.268,.339,.426,.765,.309,2323,165,53,56,46,45,54,2015
Baltimore Orioles,4.28,,162,6085,5479,693,1406,317,23,174,62,29,483,1233,.257,.321,.418,.739,.299,2291,116,54,24,44,27,42,2015
Boston Red Sox,4.65,,162,6225,5623,753,1486,299,32,178,75,38,478,1218,.264,.327,.424,.751,.307,2383,126,62,23,37,17,58,2015
Chicago Cubs,3.75,,162,5997,5476,608,1276,286,37,134,137,38,407,1431,.233,.290,.372,.662,.290,2038,98,46,36,30,38,66,2015
Chicago White Sox,4.33,,162,6181,5558,701,1443,272,39,162,75,30,474,1359,.260,.322,.410,.733,.314,2279,134,62,42,43,34,58,2015
Cincinnati Reds,4.65,,162,6271,5562,754,1436,317,25,177,100,31,544,1252,.258,.328,.420,.748,.301,2334,117,58,62,45,42,56,2015
Cleveland Indians,3.98,,161,5904,5373,640,1274,254,31,161,71,39,425,1407,.237,.297,.386,.683,.290,2073,119,48,26,32,27,44,2015
Colorado Rockies,5.21,,162,6308,5583,844,1579,363,41,183,92,35,579,1112,.283,.353,.461,.814,.323,2573,153,48,57,40,42,52,2015
Detroit Tigers,4.99,,161,6188,5565,803,1491,280,60,193,72,43,489,1100,.268,.330,.444,.774,.301,2470,137,46,44,44,32,53,2015
Houston Astros,3.81,,162,5965,5434,618,1308,252,37,148,87,27,423,1280,.241,.299,.382,.681,.287,2078,108,43,27,38,17,49,2015
Kansas City Royals,3.96,,162,6112,5499,641,1372,262,39,155,75,35,489,1160,.249,.314,.396,.710,.288,2177,114,52,28,44,10,42,2015
Los Angeles Angels of Anaheim,4.17,,162,6096,5467,675,1355,273,19,166,93,43,466,1221,.248,.313,.396,.708,.288,2164,91,71,42,50,45,60,2015
Los Angeles Dodgers,3.67,,162,5932,5433,595,1317,229,20,145,85,42,395,1396,.242,.297,.372,.669,.299,2021,114,38,37,29,32,46,2015
Miami Marlins,4.19,,162,6050,5385,678,1374,278,29,141,74,25,508,1152,.255,.322,.396,.718,.297,2133,145,52,50,55,25,37,2015
Milwaukee Brewers,4.55,,162,6148,5484,737,1432,287,33,176,104,46,517,1260,.261,.329,.422,.750,.307,2313,135,55,48,42,36,56,2015
Minnesota Twins,4.32,,162,6139,5600,700,1506,295,25,163,93,22,413,1046,.269,.321,.418,.739,.303,2340,131,41,42,43,34,53,2015
New York Mets,3.78,,162,6046,5515,613,1341,235,23,152,75,26,383,1337,.243,.296,.377,.672,.292,2078,114,44,63,40,43,58,2015
New York Yankees,4.31,,162,6191,5590,698,1416,260,25,182,71,36,474,1370,.253,.316,.406,.722,.303,2272,113,56,31,39,16,54,2015
Oakland Athletics,4.50,,162,6128,5520,729,1402,266,13,172,78,40,474,1179,.254,.316,.400,.716,.291,2210,130,47,34,53,19,77,2015
Philadelphia Phillies,4.99,,162,6332,5691,809,1592,300,33,191,79,32,488,1153,.280,.341,.445,.786,.319,2531,123,61,47,42,37,68,2015
Pittsburgh Pirates,3.68,,162,6215,5615,596,1392,257,24,110,144,43,453,1338,.248,.311,.361,.672,.305,2027,154,75,38,33,38,73,2015
San Diego Padres,4.51,,162,6093,5440,731,1371,268,50,171,122,60,516,1393,.252,.321,.414,.735,.307,2252,119,54,44,38,35,50,2015
Seattle Mariners,4.48,,162,6223,5590,726,1430,285,23,181,65,40,491,1283,.256,.322,.412,.734,.300,2304,127,70,32,37,41,55,2015
San Francisco Giants,3.87,,162,6009,5463,627,1344,246,51,155,82,32,431,1165,.246,.305,.395,.700,.285,2157,130,50,31,34,28,40,2015
St. Louis Cardinals,3.24,,162,6134,5517,525,1359,240,26,123,54,29,477,1329,.246,.310,.366,.676,.302,2020,134,45,66,29,37,55,2015
Tampa Bay Rays,3.96,,162,6069,5477,642,1314,232,19,175,88,44,477,1355,.240,.304,.385,.689,.286,2109,94,46,27,40,23,55,2015
Texas Rangers,4.52,,162,6215,5567,733,1459,280,40,171,82,25,508,1095,.262,.328,.419,.747,.296,2332,143,63,22,51,29,70,2015
Toronto Blue Jays,4.14,,162,5984,5452,670,1353,267,30,173,60,41,397,1117,.248,.304,.403,.707,.280,2199,128,59,25,49,20,54,2015
Washington Nationals,3.92,,162,5975,5464,635,1366,239,29,145,53,32,364,1342,.250,.301,.384,.685,.304,2098,102,55,52,39,37,49,2015
League Average,4.25,,162,6121,5516,688,1404,275,31,164,84,35,469,1248,.254,.317,.405,.721,.299,2232,125,53,40,41,32,55,2015
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2015
,4.25,,4858,183628,165488,20647,42106,8242,939,4909,2505,1064,14073,37446,.254,.317,.405,.721,.299,66953,3739,1602,1200,1232,951,1638,2015
Arizona Diamondbacks,5.49,,162,6437,5693,890,1563,337,38,202,63,35,603,1318,.275,.348,.454,.801,.323,2582,125,57,42,42,57,55,2016
Atlanta Braves,4.84,,161,6250,5531,779,1414,263,47,177,132,25,547,1227,.256,.328,.416,.744,.296,2302,106,70,52,50,55,59,2016
Baltimore Orioles,4.41,,162,6122,5467,715,1408,309,18,183,69,37,545,1248,.258,.328,.421,.750,.301,2302,145,51,17,38,23,46,2016
Boston Red Sox,4.28,,162,6073,5459,694,1342,251,23,176,59,33,490,1362,.246,.314,.397,.711,.295,2167,117,65,24,35,16,47,2016
Chicago Cubs,3.43,,162,5933,5309,556,1125,205,15,163,133,38,495,1441,.212,.285,.348,.633,.257,1849,98,63,31,35,24,54,2016
Chicago White Sox,4.41,,162,6196,5524,715,1422,290,25,185,89,20,521,1270,.257,.326,.419,.746,.300,2317,123,68,29,49,30,46,2016
Cincinnati Reds,5.27,,162,6348,5543,854,1457,261,18,258,108,45,636,1241,.263,.345,.456,.801,.294,2528,118,78,54,35,31,59,2016
Cleveland Indians,4.20,,161,6033,5480,676,1330,287,27,186,51,32,461,1398,.243,.304,.407,.711,.291,2229,103,34,27,31,34,54,2016
Colorado Rockies,5.31,,162,6289,5583,860,1532,312,51,181,100,31,547,1223,.274,.345,.446,.790,.321,2489,128,70,49,36,38,54,2016
Detroit Tigers,4.48,,161,6048,5457,721,1417,250,42,182,71,39,462,1232,.260,.320,.421,.741,.302,2297,129,51,25,53,25,34,2016
Houston Astros,4.33,,162,6180,5637,701,1441,320,42,181,67,31,453,1396,.256,.314,.424,.737,.308,2388,113,39,18,31,19,46,2016
Kansas City Royals,4.40,,162,6182,5535,712,1433,248,21,206,55,42,517,1287,.259,.327,.423,.750,.301,2341,117,60,30,39,8,51,2016
Los Angeles Angels,4.49,,162,6120,5495,727,1480,275,20,208,93,47,498,1136,.269,.334,.440,.774,.303,2419,126,56,22,48,27,51,2016
Los Angeles Dodgers,3.94,,162,6014,5430,638,1266,225,26,165,87,36,464,1510,.233,.298,.375,.674,.291,2038,84,53,35,30,51,38,2016
Miami Marlins,4.24,,161,6164,5408,682,1358,256,31,152,76,38,595,1379,.251,.329,.394,.724,.307,2132,119,61,48,50,62,39,2016
Milwaukee Brewers,4.52,,162,6188,5509,733,1450,293,36,178,92,59,532,1175,.263,.333,.426,.760,.303,2349,122,66,40,41,33,72,2016
Minnesota Twins,5.49,,162,6314,5722,889,1617,326,30,221,78,20,479,1191,.283,.340,.466,.806,.320,2666,155,41,26,46,26,67,2016
New York Mets,3.81,,162,6067,5494,617,1397,258,29,152,135,45,439,1396,.254,.311,.395,.706,.312,2169,117,35,55,44,39,58,2016
New York Yankees,4.33,,162,6023,5478,702,1358,279,22,214,86,31,444,1393,.248,.310,.424,.734,.294,2323,100,57,21,22,15,48,2016
Oakland Athletics,4.70,,162,6144,5558,761,1459,277,26,185,75,22,464,1188,.263,.322,.422,.744,.301,2343,125,50,21,49,28,62,2016
Philadelphia Phillies,4.91,,162,6164,5540,796,1468,308,33,213,70,32,466,1299,.265,.325,.448,.773,.307,2481,120,51,49,55,30,53,2016
Pittsburgh Pirates,4.68,,162,6292,5579,758,1490,322,40,180,102,28,533,1232,.267,.336,.436,.772,.311,2432,150,68,64,46,28,69,2016
San Diego Padres,4.75,,162,6228,5533,770,1425,275,44,183,98,29,569,1222,.258,.330,.422,.753,.298,2337,147,53,27,42,44,63,2016
Seattle Mariners,4.36,,162,6147,5573,707,1410,273,23,213,81,32,460,1318,.253,.314,.425,.739,.294,2368,135,55,23,36,30,60,2016
San Francisco Giants,3.90,,162,6049,5488,631,1334,262,42,158,71,35,439,1309,.243,.303,.392,.695,.290,2154,120,46,41,34,30,44,2016
St. Louis Cardinals,4.40,,162,6164,5553,712,1432,278,22,159,85,26,475,1290,.258,.320,.402,.722,.307,2231,149,52,38,46,35,69,2016
Tampa Bay Rays,4.40,,162,6076,5470,713,1395,233,9,210,91,31,491,1357,.255,.318,.416,.734,.300,2276,109,32,33,47,25,49,2016
Texas Rangers,4.67,,162,6186,5537,757,1441,260,22,201,82,33,534,1154,.260,.329,.424,.753,.293,2348,168,53,19,43,16,58,2016
Toronto Blue Jays,4.11,,162,6113,5546,666,1340,269,24,183,84,20,461,1314,.242,.305,.398,.703,.283,2206,127,59,13,33,10,51,2016
Washington Nationals,3.78,,162,6036,5430,612,1272,252,27,155,54,29,468,1476,.234,.300,.376,.677,.292,2043,124,57,52,28,43,45,2016
League Average,4.48,,162,6153,5519,725,1409,275,29,187,85,33,503,1299,.255,.322,.417,.739,.300,2304,124,55,34,40,31,53,2016
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2016
,4.48,,4856,184580,165561,21744,42276,8254,873,5610,2537,1001,15088,38982,.255,.322,.417,.739,.300,69106,3719,1651,1025,1214,932,1601,2016
Arizona Diamondbacks,4.07,,162,6072,5443,659,1309,276,34,171,69,32,516,1482,.240,.309,.398,.707,.297,2166,125,38,36,37,45,65,2017
Atlanta Braves,5.07,,162,6306,5563,821,1463,326,36,192,99,30,584,1258,.263,.339,.438,.777,.306,2437,118,70,53,36,39,50,2017
Baltimore Orioles,5.19,,162,6293,5589,841,1505,293,17,242,77,34,579,1233,.269,.342,.458,.799,.303,2558,150,60,17,48,21,48,2017
Boston Red Sox,4.12,,162,6217,5647,668,1384,278,23,195,61,39,465,1580,.245,.306,.406,.712,.304,2293,116,49,16,40,18,56,2017
Chicago Cubs,4.29,,162,6108,5430,695,1294,250,17,194,121,35,554,1439,.238,.315,.398,.713,.288,2160,119,66,28,29,29,52,2017
Chicago White Sox,5.06,,162,6200,5445,820,1384,275,32,242,120,26,632,1193,.254,.337,.450,.787,.282,2449,139,68,14,39,36,73,2017
Cincinnati Reds,5.36,,162,6286,5475,869,1442,315,22,248,79,42,631,1300,.263,.345,.465,.810,.300,2545,107,77,52,49,37,49,2017
Cleveland Indians,3.48,,162,5866,5378,564,1267,262,12,163,50,37,406,1614,.236,.294,.380,.673,.305,2042,139,45,16,20,15,45,2017
Colorado Rockies,4.67,,162,6177,5500,757,1453,290,50,190,67,27,532,1270,.264,.332,.439,.771,.309,2413,143,50,49,44,20,36,2017
Detroit Tigers,5.52,,162,6298,5621,894,1587,290,35,218,85,37,538,1202,.282,.348,.463,.811,.321,2601,129,61,15,62,42,44,2017
Houston Astros,4.32,,162,6111,5476,700,1314,293,23,192,102,14,522,1593,.240,.313,.407,.720,.302,2229,133,70,17,20,17,52,2017
Kansas City Royals,4.88,,162,6218,5580,791,1480,274,40,196,87,30,519,1216,.265,.331,.434,.765,.305,2422,127,52,21,46,24,49,2017
