Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Year
Kansas City Royals,5.00,,162,6249,5505,810,1493,273,26,173,58,25,589,1191,.271,.346,.425,.770,.314,2337,135,71,19,65,15,40,2022
Los Angeles Angels,4.12,,162,6038,5386,668,1241,264,15,168,99,23,540,1383,.230,.306,.379,.684,.277,2039,121,60,17,33,23,40,2022
Los Angeles Dodgers,3.17,,162,5865,5336,513,1114,223,22,152,68,19,407,1465,.209,.273,.344,.617,.256,1837,101,75,15,32,13,46,2022
Miami Marlins,4.17,,162,6056,5423,676,1311,314,28,173,92,27,511,1437,.242,.314,.406,.720,.296,2200,124,76,14,32,19,36,2022
Milwaukee Brewers,4.25,,162,6057,5406,688,1238,240,26,190,79,28,521,1530,.229,.302,.388,.691,.281,2100,101,67,13,44,12,39,2022
Minnesota Twins,4.22,,162,6042,5458,684,1320,270,20,184,92,23,468,1336,.242,.307,.400,.707,.286,2182,107,66,10,39,19,36,2022
New York Mets,3.74,,162,5950,5408,606,1274,232,12,169,86,28,428,1565,.236,.299,.377,.675,.299,2037,117,71,12,27,13,26,2022
New York Yankees,3.50,,162,5938,5380,567,1177,247,8,157,49,28,444,1459,.219,.285,.355,.640,.269,1911,90,65,13,27,10,37,2022
Oakland Athletics,4.75,,162,6121,5491,770,1394,313,28,195,77,29,503,1203,.254,.323,.428,.750,.290,2348,118,72,15,38,37,40,2022
Philadelphia Phillies,4.23,,162,6006,5430,685,1330,286,28,150,56,37,463,1423,.245,.310,.391,.701,.303,2122,106,68,10,35,16,30,2022
Pittsburgh Pirates,5.04,,162,6263,5539,817,1432,324,14,164,92,32,586,1250,.259,.337,.411,.748,.305,2276,128,87,13,34,23,71,2022
San Diego Padres,4.07,,162,6047,5433,660,1263,234,17,173,89,13,468,1451,.232,.301,.377,.679,.283,2050,105,88,8,48,6,28,2022
Seattle Mariners,3.85,,162,5986,5429,623,1277,240,19,186,89,35,447,1391,.235,.298,.389,.688,.281,2113,100,56,18,35,24,28,2022
San Francisco Giants,4.30,,162,6070,5517,697,1397,301,28,132,86,22,441,1370,.253,.313,.390,.702,.312,2150,112,52,18,37,16,34,2022
St. Louis Cardinals,3.93,,162,6014,5409,637,1335,249,21,146,49,20,489,1177,.247,.314,.382,.696,.288,2064,157,60,14,39,11,30,2022
Tampa Bay Rays,3.79,,162,5930,5424,614,1260,239,21,172,76,26,384,1384,.232,.289,.379,.669,.279,2057,98,66,15,34,15,43,2022
Texas Rangers,4.59,,162,6167,5452,743,1345,279,18,169,104,27,581,1314,.247,.325,.397,.722,.293,2167,123,71,16,44,16,40,2022
Toronto Blue Jays,4.19,,162,6053,5493,679,1356,260,19,180,83,33,424,1390,.247,.308,.399,.707,.297,2194,97,76,14,42,15,36,2022
Washington Nationals,5.28,,162,6220,5522,855,1469,245,26,244,97,28,558,1220,.266,.339,.452,.791,.298,2498,106,75,13,51,12,51,2022
League Average,4.28,,162,6068,5449,694,1322,265,21,174,83,27,495,1360,.243,.312,.395,.706,.290,2152,113,68,13,41,16,38,2022
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2022
,4.28,,4860,182052,163465,20817,39675,7940,643,5215,2486,811,14853,40812,.243,.312,.395,.706,.290,64546,3393,2046,390,1224,475,1146,2022
Arizona Diamondbacks,4.70,,162,6100,5477,761,1375,304,39,197,84,33,525,1351,.251,.320,.429,.749,.297,2348,113,48,10,39,13,21,2023
Atlanta Braves,4.42,,162,6135,5480,716,1341,238,21,187,128,28,534,1516,.245,.318,.398,.716,.303,2182,120,70,19,29,14,39,2023
Baltimore Orioles,4.19,,162,6098,5511,678,1334,266,22,177,88,31,473,1431,.242,.307,.395,.702,.294,2175,122,63,12,37,16,35,2023
Boston Red Sox,4.79,,162,6168,5535,776,1416,317,21,208,108,26,497,1423,.256,.325,.433,.758,.307,2399,116,83,13,35,21,50,2023
Chicago Cubs,4.46,,162,6085,5446,723,1328,268,20,179,122,35,513,1377,.244,.314,.399,.713,.292,2173,114,64,19,42,5,42,2023
Chicago White Sox,5.19,,162,6301,5502,841,1372,243,37,214,170,35,654,1470,.249,.337,.424,.760,.300,2331,102,91,8,43,14,35,2023
Cincinnati Reds,5.07,,162,6310,5552,821,1426,305,32,222,123,37,613,1381,.257,.337,.443,.780,.302,2461,112,81,19,42,13,34,2023
Cleveland Guardians,4.30,,162,6144,5495,697,1352,293,17,173,159,31,534,1311,.246,.316,.400,.716,.291,2198,101,51,14,45,9,42,2023
Colorado Rockies,5.91,,162,6316,5559,957,1599,309,47,234,101,37,586,1129,.288,.361,.486,.847,.321,2704,146,86,21,62,13,26,2023
Detroit Tigers,4.57,,162,6073,5490,740,1320,259,24,187,79,23,476,1374,.240,.305,.399,.703,.286,2188,117,50,12,38,8,55,2023
Houston Astros,4.31,,162,6110,5440,698,1312,266,20,201,127,31,537,1460,.241,.316,.408,.724,.291,2221,131,75,14,42,6,29,2023
Kansas City Royals,5.30,,162,6139,5444,859,1429,294,31,207,105,26,553,1270,.262,.336,.442,.778,.304,2406,113,73,10,52,8,32,2023
Los Angeles Angels,5.12,,162,6305,5526,829,1394,271,20,209,89,22,636,1445,.252,.337,.422,.759,.303,2332,107,88,14,36,41,41,2023
Los Angeles Dodgers,4.31,,162,6018,5445,699,1284,256,19,200,142,29,454,1388,.236,.301,.400,.701,.279,2178,127,73,7,35,20,39,2023
Miami Marlins,4.46,,162,6091,5456,723,1340,303,20,191,130,23,514,1490,.246,.317,.413,.730,.302,2256,127,71,12,35,20,32,2023
Milwaukee Brewers,3.99,,162,5990,5380,647,1218,225,16,198,121,23,493,1425,.226,.297,.385,.681,.269,2069,100,60,12,39,7,34,2023
Minnesota Twins,4.07,,162,6028,5472,659,1294,245,28,194,94,30,443,1560,.236,.299,.398,.697,.293,2177,97,63,14,35,16,26,2023
New York Mets,4.50,,162,6115,5381,729,1331,243,19,190,156,24,595,1397,.247,.330,.406,.735,.298,2182,126,85,12,40,13,36,2023
New York Yankees,4.31,,162,6078,5428,698,1272,261,15,195,103,26,508,1439,.234,.308,.396,.703,.281,2148,103,85,11,40,6,40,2023
